,tweet_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,Dog Rating,retweet_count,full_text,favorite_count,display_text_range,created_at,jpg_url,Breed Prediction 1,Conf level 1
1,892177421306343426,2017-08-01 00:17:27,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,doggo,6514.0,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",33819.0,"[0, 138]",2017-08-01 00:17:27,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581
2,891815181378084864,2017-07-31 00:18:03,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,doggo,4328.0,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,25461.0,"[0, 121]",2017-07-31 00:18:03,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012
4,891327558926688256,2017-07-29 16:00:24,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,doggo,9774.0,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",41048.0,"[0, 138]",2017-07-29 16:00:24,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,0.555712
7,890729181411237888,2017-07-28 00:22:40,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,doggo,16716.0,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,56848.0,"[0, 118]",2017-07-28 00:22:40,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142
8,890609185150312448,2017-07-27 16:25:51,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,doggo,4429.0,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,28226.0,"[0, 122]",2017-07-27 16:25:51,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish terrier,0.487574
9,890240255349198849,2017-07-26 15:59:51,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,7711.0,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,32467.0,"[0, 133]",2017-07-26 15:59:51,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319
10,890006608113172480,2017-07-26 00:31:25,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,doggo,7624.0,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,31166.0,"[0, 130]",2017-07-26 00:31:25,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979
12,889665388333682689,2017-07-25 01:55:32,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,None,doggo,8538.0,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,38818.0,"[0, 106]",2017-07-25 01:55:32,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327
13,889638837579907072,2017-07-25 00:10:02,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,doggo,4735.0,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,27672.0,"[0, 91]",2017-07-25 00:10:02,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French bulldog,0.99165
14,889531135344209921,2017-07-24 17:02:04,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,doggo,2321.0,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,15359.0,"[0, 118]",2017-07-24 17:02:04,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden retriever,0.953442
